test_type,topic,level,question,option_a,option_b,option_c,option_d,answer,source
aptitude,Time & Work,medium,A and B together can do work in 12 days. B and C in 15 days. C and A in 20 days. All three together in?,10,8,6,5,10,indiabix
aptitude,Time & Work,medium,A pipe fills tank in 6 hrs and another empties in 10 hrs. Net fill time?,15,16,18,20,15,indiabix
aptitude,Time & Work,medium,12 men can do work in 8 days. How many men to finish in 6 days?,14,16,18,20,16,indiabix
aptitude,Time & Work,medium,A does 1/3 work in 5 days B does 2/5 in 10 days. Together finish remaining in?,3,4,5,6,4,indiabix
aptitude,Time & Work,medium,4 men and 6 women finish in 8 days. 3 men and 7 women finish in 10 days. Men and women ratio of efficiency?,1.5:1,2:1,1:2,1:1.5,1.5:1,indiabix
aptitude,Time & Work,medium,A can finish in 18 days B in 15 days. B worked for 10 days. A finishes rest in?,6,7,8,9,6,indiabix
aptitude,Time & Work,medium,A and B do work in 45 days. B and C in 40 days. A and C in 60 days. B alone in?,72,120,90,180,120,indiabix
aptitude,Time & Work,medium,Two pipes A and B fill tank in 20 min and 30 min. C empties in 15 min. All open time to fill?,120,60,30,180,120,indiabix
aptitude,Time & Work,medium,Efficiency of A is twice that of B. Both together finish in 14 days. A alone?,21,18,14,16,21,indiabix
aptitude,Time & Work,hard,A is 50% more efficient than B. A starts and after 5 days B joins. Work completed in 11 days. Total days?,11,12,13,14,11,indiabix
aptitude,Time & Work,hard,6 men and 8 boys can do work in 10 days. 26 men and 48 boys in 2 days. Time for 15 men and 20 boys?,4,5,6,7,4,indiabix
aptitude,Time & Work,hard,A machine can print 1000 books in 12 hours. How long for 3 machines to print 7000 books?,26,27,28,29,28,indiabix
aptitude,Time & Work,hard,Worker A takes 8 hours for 5 units. B takes 7 hours for 6 units. How long for A and B to produce 22 units?,11,10,9,12,11,indiabix
aptitude,Time & Work,hard,A pump can remove 5 gallons per minute. Pipe adds 10 gallons per minute. If tank has 3000 gallons and both work how long to empty?,600,500,400,300,600,indiabix
aptitude,Time & Work,hard,A and B together do work in 8 days. With C they finish in 6 days. C and D finish in 12 days. All four together finish in?,48/7,4,5,6,48/7,indiabix
aptitude,Time & Work,hard,Ram can do work in 20 days Shyam in 30 days. They start together but Ram leaves 5 days before end. Total days?,20,19,18,17,20,indiabix
aptitude,Time & Work,hard,Tank has 3 inlet pipes A B C. A fills in 2hrs B in 3hrs C in 4hrs. All open how long?,12/13,1,2,3,12/13,indiabix
aptitude,Time & Work,hard,Contractor employs 20 men to do work in 24 days. After 8 days 5 more men added. Completed in?,18,19,20,21,18,indiabix
aptitude,Time & Work,hard,A can do 1/5 work in 3 days B can do 1/3 work in 5 days. Together do 2/3 work in?,6,7,8,9,6,indiabix
aptitude,Time & Work,easy,If 3 workers take 9 days for 27 units how many days for 45 units with 5 workers?,9,10,8,7,9,indiabix
aptitude,Time & Work,easy,A takes 6 days B takes 8 days. A starts B joins on day 3. Finish on day?,7,8,6,5,7,indiabix
aptitude,Time & Work,medium,Work can be done by 24 men in 15 days. After 10 days 12 men leave. Days to finish?,20,25,30,35,20,indiabix
aptitude,Time & Work,medium,A does 4/5 of work in 20 days rest is done by B in 3 days. Together they would finish in?,25/3,10,12,15,25/3,indiabix
aptitude,Time & Work,easy,A and B together take 8 days. A alone takes 12. B alone takes?,24,20,18,16,24,indiabix
aptitude,Time & Work,medium,Two pipes fill tank in 6 and 4 hrs. Third drains in 8 hrs. All open to fill?,48/11,4,5,6,48/11,indiabix
aptitude,Time & Work,hard,10 men can complete work in 7 days. How many days 14 men to complete same work?,5,6,7,8,5,indiabix
aptitude,Time & Work,medium,A starts and after 4 days B joins. B works for 3 days. A did 7/10 of work. A's total days?,10,12,14,16,14,indiabix
aptitude,Time & Work,hard,In a fort there are 1200 soldiers. Provisions for 30 days. After 10 days 300 more soldiers came. Provisions last?,16,18,20,22,16,indiabix
aptitude,Time & Work,easy,A can do work in 8 days B twice as fast. Together they finish in?,8/3,3,4,5,8/3,indiabix
aptitude,Speed & Distance,easy,Train travels 360 km in 4 hrs. Speed in km/h?,80,90,100,70,90,indiabix
aptitude,Speed & Distance,easy,Speed=60 km/h Time=2.5 hrs. Distance?,120,140,150,160,150,indiabix
aptitude,Speed & Distance,easy,Distance=200km Speed=50km/h. Time?,3,4,5,6,4,indiabix
aptitude,Speed & Distance,easy,A man walks 20km in 4 hours. Speed?,4,5,6,7,5,indiabix
aptitude,Speed & Distance,easy,Convert 72 km/h to m/s?,18,20,22,24,20,indiabix
aptitude,Speed & Distance,easy,Convert 15 m/s to km/h?,54,52,50,48,54,indiabix
aptitude,Speed & Distance,easy,Train 300m long passes pole in 30 seconds. Speed in km/h?,36,40,44,48,36,indiabix
aptitude,Speed & Distance,easy,Two cars start from same point in opposite directions at 40 and 50 km/h. Distance after 3 hrs?,240,270,300,330,270,indiabix
aptitude,Speed & Distance,easy,If a car travels 100km at 50km/h and 100km at 100km/h average speed?,66.67,70,75,80,66.67,indiabix
aptitude,Speed & Distance,easy,A cyclist covers 700m in 3.5 min. Speed km/h?,10,12,14,16,12,indiabix
aptitude,Speed & Distance,medium,Two trains 200m and 150m cross each other in opposite direction at 60 and 48 km/h. Time in seconds?,10,11,12,13,10,indiabix
aptitude,Speed & Distance,medium,Boat speed in still water 15 km/h stream 5 km/h. Upstream speed?,10,12,14,16,10,indiabix
aptitude,Speed & Distance,medium,A train crosses 250m bridge in 30 sec at 60km/h. Length of train?,250,300,200,350,250,indiabix
aptitude,Speed & Distance,medium,Car A starts at 8am at 40km/h. Car B starts at 9am at 60km/h. B overtakes A at?,11am,10am,12pm,1pm,11am,indiabix
aptitude,Speed & Distance,medium,Boat goes 30km upstream in 6 hrs and 36km downstream in 6 hrs. Speed of stream?,2,3,4,5,3,indiabix
aptitude,Speed & Distance,medium,A and B start towards each other at 40 and 60 km/h. Distance 200 km. Meet after?,2 hrs,2.5 hrs,3 hrs,1.5 hrs,2 hrs,indiabix
aptitude,Speed & Distance,medium,Train 300m crosses platform 600m in 90 sec. Speed m/s?,10,12,14,16,10,indiabix
aptitude,Speed & Distance,medium,A thief is spotted 200m away and runs at 10km/h. Police chase at 12km/h. Catch in?,6 min,7 min,8 min,10 min,6 min,indiabix
aptitude,Speed & Distance,medium,A covers 1/3rd of journey at 10km/h and rest at 20km/h. Average speed?,15,14,13,16,15,indiabix
aptitude,Speed & Distance,medium,Walking 3/4 usual speed a man is 20 min late. Usual time?,60,70,80,90,60,indiabix
aptitude,Speed & Distance,hard,A and B start at same time from P and Q 200km apart. A at 40km/h B at 60km/h. First meeting point from P?,80km,100km,120km,90km,80km,indiabix
aptitude,Speed & Distance,hard,Trains start from A and B 180km apart. First train at 60km/h and second 80km/h. They meet after?,128.57km from A,100km,90km,80km,128.57km from A,indiabix
aptitude,Speed & Distance,hard,A passenger train 440m long takes 2 min to pass 3 platforms of 55m 45m and 300m. Speed km/h?,72,60,48,36,72,indiabix
aptitude,Speed & Distance,hard,A man rows downstream 30km in 4 hrs. Upstream 18km in 6 hrs. Speed in still water?,6,6.5,7,7.5,6,indiabix
aptitude,Speed & Distance,hard,Two runners start at same time opposite ends of 3km course. They meet first at 1.8km from A. Speed ratio?,2:3,3:2,1:2,2:1,2:3,indiabix
aptitude,Speed & Distance,hard,A train overtakes two persons walking at 2 and 4 km/h in 9 and 10 sec. Length?,50m,60m,70m,80m,50m,indiabix
aptitude,Speed & Distance,hard,A motorcyclist covers half at 30km/h and half at 60km/h. Total distance 120km. Time saved vs constant 45km/h?,10,8,6,4,4,indiabix
aptitude,Speed & Distance,hard,Train passes two people walking same direction in 8 and 10 sec at 2 and 4 km/h. Length and speed?,100m 38km/h,90m 40km/h,80m 36km/h,100m 40km/h,100m 38km/h,indiabix
aptitude,Speed & Distance,hard,A motorboat covers 40km upstream in 8 hrs and 36km downstream in 6hrs. Speed of boat and stream?,5.5 and 0.5,5 and 1,6 and 0.5,4 and 1,5.5 and 0.5,indiabix
aptitude,Speed & Distance,hard,A runner runs N laps at a speed reducing 10% each lap. If first lap takes 40 sec how long for 3 laps?,114.4,112,110,108,114.4,indiabix
aptitude,Speed & Distance,easy,Sound travels 330 m/s. Thunder heard 5 sec after lightning. Distance in km?,1.65,1.5,1.75,2,1.65,indiabix
aptitude,Speed & Distance,easy,If train travels 1.5km in 1 min its speed km/h?,60,75,80,90,90,indiabix
aptitude,Speed & Distance,medium,A walks at 4km/h. After 1 hr B cycles at 12km/h. After how long B catches A?,0.5 hr,1 hr,1.5 hrs,2 hrs,0.5 hr,indiabix
aptitude,Speed & Distance,medium,Two ships start toward each other 300km apart at 20 and 30km/h. A seagull flies between them at 60km/h until ships meet. Total distance seagull?,360km,320km,300km,280km,360km,indiabix
aptitude,Speed & Distance,easy,A train 150m long passes a stationary man in 15 sec. Speed km/h?,36,40,44,48,36,indiabix
aptitude,Speed & Distance,medium,A bus starts at 7am and second bus at 9am in same direction at 40 and 60km/h. When does second bus overtake?,1pm,2pm,3pm,4pm,1pm,indiabix
aptitude,Speed & Distance,hard,Two trains of 180m and 220m run on parallel tracks towards each other at 60 and 40km/h. Time to cross?,16.2 sec,20 sec,18 sec,14 sec,16.2 sec,indiabix
aptitude,Speed & Distance,medium,A goes to office at 30km/h returns at 20km/h. Average speed?,24,25,26,27,24,indiabix
aptitude,Speed & Distance,easy,Travelling at 60km/h reaches in 5hrs. At 75km/h reaches in?,4,4.5,3,3.5,4,indiabix
aptitude,Speed & Distance,hard,Two birds fly in opposite directions around a 1km circle. One at 10m/s other at 15m/s. Meet every?,40 sec,45 sec,50 sec,35 sec,40 sec,indiabix
aptitude,Number Series,easy,Next: 2 6 12 20 ?,28,30,32,26,30,indiabix
aptitude,Number Series,easy,Next: 1 4 9 16 25 ?,30,36,42,49,36,indiabix
aptitude,Number Series,easy,Next: 3 6 9 12 ?,13,14,15,16,15,indiabix
aptitude,Number Series,easy,Next: 5 10 20 40 ?,60,80,100,70,80,indiabix
aptitude,Number Series,easy,Next: 1 2 4 7 11 ?,14,16,18,20,16,indiabix
aptitude,Number Series,easy,Next: 100 90 81 73 ?,66,67,68,69,66,indiabix
aptitude,Number Series,easy,Next: 2 3 5 8 13 ?,18,19,20,21,21,indiabix
aptitude,Number Series,easy,Next: 1 3 7 15 31 ?,60,62,63,64,63,indiabix
aptitude,Number Series,easy,Next: 7 14 21 28 ?,33,35,37,39,35,indiabix
aptitude,Number Series,easy,Next: 1 8 27 64 ?,100,125,150,175,125,indiabix
aptitude,Number Series,medium,Next: 3 6 11 18 27 ?,36,38,40,42,38,indiabix
aptitude,Number Series,medium,Next: 1 6 13 22 33 ?,44,46,48,50,46,indiabix
aptitude,Number Series,medium,Next: 4 9 20 43 ?,88,90,92,94,90,indiabix
aptitude,Number Series,medium,Next: 2 5 11 23 47 ?,95,96,97,98,95,indiabix
aptitude,Number Series,medium,Next: 1 2 6 24 120 ?,720,620,520,820,720,indiabix
aptitude,Number Series,medium,Next: 11 13 17 19 23 29 ?,31,33,35,37,31,indiabix
aptitude,Number Series,medium,Next: 5 11 23 47 95 ?,189,191,193,195,191,indiabix
aptitude,Number Series,medium,Missing: 2 _ 8 16 32,4,6,8,10,4,indiabix
aptitude,Number Series,medium,Next: 10 9 8 6 3 ?,0,-1,-2,-3,-1,indiabix
aptitude,Number Series,medium,Next: 1 4 10 22 46 ?,94,96,98,100,94,indiabix
aptitude,Number Series,hard,Next: 7 26 63 124 215 ?,342,356,368,400,342,indiabix
aptitude,Number Series,hard,Next: 2 3 10 15 26 ?,35,37,39,41,35,indiabix
aptitude,Number Series,hard,Next: 6 10 14 18 24 28 32 36 ?,42,43,44,45,42,indiabix
aptitude,Number Series,hard,Find wrong term: 3 5 7 12 17 19,12,17,3,19,12,indiabix
aptitude,Number Series,hard,Next: 0 2 8 26 80 ?,242,244,246,248,242,indiabix
aptitude,Number Series,hard,Next: 4 6 12 14 28 30 ?,60,62,64,66,60,indiabix
aptitude,Number Series,hard,Wrong term: 10 14 28 32 64 68 132,132,64,28,14,132,indiabix
aptitude,Number Series,hard,Next in: 2 9 28 65 126 ?,217,218,219,220,217,indiabix
aptitude,Number Series,hard,Find missing: 3 7 6 14 9 21 12 ?,28,30,32,34,28,indiabix
aptitude,Number Series,hard,Next: 8 15 24 35 48 ?,60,63,65,68,63,indiabix
aptitude,Number Series,easy,Next: 50 45 40 35 ?,25,28,30,32,30,indiabix
aptitude,Number Series,easy,Next: 2 4 8 16 32 ?,64,68,72,76,64,indiabix
aptitude,Number Series,medium,Next: 3 12 27 48 75 ?,108,112,116,120,108,indiabix
aptitude,Number Series,medium,Next: 1 1 2 3 5 8 ?,11,12,13,14,13,indiabix
aptitude,Number Series,easy,Next: 0 1 3 6 10 ?,13,14,15,16,15,indiabix
aptitude,Number Series,medium,Next: 144 121 100 81 64 ?,49,36,47,51,49,indiabix
aptitude,Number Series,hard,Find wrong: 1 5 14 30 55 91 140,140,91,55,30,140,indiabix
aptitude,Number Series,easy,Next: 4 8 12 16 ?,18,20,22,24,20,indiabix
aptitude,Number Series,medium,Next: 1 3 4 7 11 18 ?,28,29,30,31,29,indiabix
aptitude,Number Series,hard,Next: 0 6 24 60 120 ?,210,222,240,260,210,indiabix
aptitude,Logical Reasoning,easy,Find odd one out: Apple Mango Potato Banana,Apple,Mango,Potato,Banana,Potato,indiabix
aptitude,Logical Reasoning,easy,If COLD=WARM then SLOW=?,FAST,QUICK,RAPID,SWIFT,FAST,indiabix
aptitude,Logical Reasoning,easy,Find odd one out: Triangle Square Pentagon Cube,Triangle,Square,Pentagon,Cube,Cube,indiabix
aptitude,Logical Reasoning,easy,If CAT is coded as 3120 then DOG is?,4157,4167,4187,4197,4157,indiabix
aptitude,Logical Reasoning,easy,Pointing to a girl Ram says she is daughter of my mother's only son. Relation?,Daughter,Sister,Niece,Cousin,Daughter,indiabix
aptitude,Logical Reasoning,easy,3 3 5 4 4 3 5 ? (find missing),5,4,3,2,5,indiabix
aptitude,Logical Reasoning,easy,Find odd one out: January March May June July,June,July,March,May,June,indiabix
aptitude,Logical Reasoning,easy,Complete: AZ BY CX ?,DW,DX,DY,DZ,DW,indiabix
aptitude,Logical Reasoning,easy,Series: 1Z 2Y 3X 4W ?,5V,5U,6V,4V,5V,indiabix
aptitude,Logical Reasoning,easy,If North becomes East then South becomes?,West,North,East,South-East,West,indiabix
aptitude,Logical Reasoning,medium,All roses are flowers. Some flowers fade. Conclusion?,All roses fade,Some roses fade,No roses fade,Cannot determine,Cannot determine,indiabix
aptitude,Logical Reasoning,medium,If + means * and * means + then 5+3*2=?,17,21,19,15,17,indiabix
aptitude,Logical Reasoning,medium,In a row A is 10th from left B is 12th from right. Total 25. Between them?,3,4,5,6,3,indiabix
aptitude,Logical Reasoning,medium,5 people in row. A is left of B. C is right of D. E is between A and B. B is right of E. Who is leftmost?,D,A,C,E,D,indiabix
aptitude,Logical Reasoning,medium,All cats are animals. All animals are birds. Conclusion?,All cats are birds,Some cats are birds,No cats are birds,Cannot determine,All cats are birds,indiabix
aptitude,Logical Reasoning,medium,If + means - and - means * and * means / then 8+4-2*4=?,0,-6,8,6,0,indiabix
aptitude,Logical Reasoning,medium,Six persons A B C D E F. C is sister of F. B is brother of E's husband. D is father of A and grandfather of F. Who is grandmother?,E,B,A,F,E,indiabix
aptitude,Logical Reasoning,medium,ABCDE are sitting in circle. A is 2nd to right of D. B is opposite to D. C is between A and B. Opposite to C is?,E,A,B,D,E,indiabix
aptitude,Logical Reasoning,medium,If in a code SUMMER=SULMER then WINTER=?,WINTWE,WINTRE,WINTWR,WINRTE,WINTRE,indiabix
aptitude,Logical Reasoning,medium,Some stones are not rocks. All rocks are rivers. Conclusion?,Some stones are rivers,Some rivers are stones,No stones are rivers,Cannot determine,Cannot determine,indiabix
aptitude,Logical Reasoning,hard,If + means / and - means * and * means + and / means - then: 3+15-2*5/8=?,12.5,13,14,15,12.5,indiabix
